"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"30-Mar-2011","     4491.30","     4568.00","     4490.75","     4561.00","        6990084","          324.27"
"31-Mar-2011","     4569.25","     4591.85","     4503.65","     4535.85","       12171900","          605.97"
"01-Apr-2011","     4541.50","     4564.35","     4524.95","     4550.95","        5867929","          274.85"
"04-Apr-2011","     4573.45","     4580.55","     4552.15","     4570.45","        5085855","          237.47"
"05-Apr-2011","     4583.50","     4602.65","     4558.00","     4590.80","        4310801","          200.76"
"06-Apr-2011","     4588.75","     4606.60","     4567.40","     4577.10","        5392018","          254.20"
"07-Apr-2011","     4581.80","     4600.05","     4575.80","     4583.60","        6074839","          262.63"
"08-Apr-2011","     4592.20","     4611.70","     4571.20","     4587.95","        5238289","          253.11"
"11-Apr-2011","     4608.25","     4618.25","     4575.35","     4588.20","        5284273","          246.91"
"13-Apr-2011","     4589.75","     4626.55","     4555.25","     4619.00","        5040904","          244.10"
"15-Apr-2011","     4621.15","     4623.00","     4577.70","     4593.80","        2723039","          156.93"
"18-Apr-2011","     4597.85","     4628.80","     4540.75","     4563.95","        4328499","          215.33"
"19-Apr-2011","     4555.25","     4567.25","     4526.60","     4546.50","        3165636","          146.00"
"20-Apr-2011","     4560.65","     4624.90","     4548.20","     4619.00","        3514835","          169.78"
"21-Apr-2011","     4622.95","     4643.10","     4598.90","     4610.30","        3110682","          148.67"
"25-Apr-2011","     4613.20","     4632.80","     4603.90","     4619.55","        2944261","          159.07"
"26-Apr-2011","     4622.60","     4654.30","     4567.30","     4640.95","        3490641","          171.85"
"27-Apr-2011","     4640.20","     4663.45","     4631.05","     4654.90","        3435710","          165.76"
"28-Apr-2011","     4649.60","     4674.00","     4624.35","     4647.55","        7940279","          350.66"
"29-Apr-2011","     4662.70","     4701.45","     4656.75","     4685.55","        6370235","          273.29"
"02-May-2011","     4711.55","     4750.45","     4699.95","     4712.70","        4043953","          229.79"
"03-May-2011","     4701.35","     4732.60","     4629.85","     4642.55","        4086311","          204.06"
"04-May-2011","     4642.10","     4642.10","     4558.90","     4590.95","        5767597","          294.40"
"05-May-2011","     4560.15","     4579.80","     4488.80","     4506.25","        7311948","          323.75"
"06-May-2011","     4498.35","     4553.30","     4492.90","     4539.25","        6892090","          301.69"
"09-May-2011","     4551.10","     4551.10","     4500.85","     4532.00","        5779833","          240.26"
"10-May-2011","     4532.60","     4549.65","     4501.20","     4522.85","        5709160","          247.75"
"11-May-2011","     4520.25","     4550.45","     4506.80","     4542.20","       10968561","          488.93"
"12-May-2011","     4517.70","     4579.80","     4502.75","     4544.85","        7519130","          350.55"
"13-May-2011","     4545.95","     4645.15","     4519.90","     4607.55","        9497427","          471.91"
"16-May-2011","     4608.35","     4682.90","     4608.35","     4660.05","       16581289","          672.81"
"17-May-2011","     4663.20","     4682.60","     4633.35","     4648.05","        6864164","          310.46"
"18-May-2011","     4654.85","     4667.50","     4572.65","     4584.90","        6282535","          300.74"
"19-May-2011","     4593.65","     4598.60","     4551.05","     4563.80","        4202144","          208.26"
"20-May-2011","     4571.60","     4646.35","     4557.20","     4619.80","        6226689","          339.87"
"23-May-2011","     4610.45","     4616.70","     4520.70","     4541.50","        6356286","          327.05"
"24-May-2011","     4552.15","     4572.10","     4541.80","     4561.85","        3857756","          171.09"
"25-May-2011","     4557.80","     4584.20","     4539.00","     4567.00","        4500791","          215.63"
"26-May-2011","     4573.95","     4625.65","     4557.10","     4604.85","       10465271","          497.96"
"27-May-2011","     4600.95","     4646.70","     4600.95","     4632.10","        5404511","          251.17"
"30-May-2011","     4647.20","     4747.30","     4647.20","     4736.70","        8839352","          425.94"
"31-May-2011","     4755.15","     4828.25","     4755.15","     4822.75","        9797432","          464.47"
"01-Jun-2011","     4810.80","     4827.40","     4781.95","     4805.65","        4441412","          216.21"
"02-Jun-2011","     4783.65","     4853.50","     4765.05","     4806.95","        6030264","          274.86"
"03-Jun-2011","     4807.80","     4831.70","     4749.35","     4759.40","        3622455","          196.01"
"06-Jun-2011","     4757.00","     4810.55","     4754.85","     4807.30","        4507631","          204.91"
"07-Jun-2011","     4797.35","     4857.65","     4797.35","     4850.30","        6047405","          276.38"
"08-Jun-2011","     4848.45","     4853.85","     4787.55","     4795.10","        3609237","          178.60"
"09-Jun-2011","     4804.05","     4806.45","     4757.80","     4773.75","        2482602","          121.29"
"10-Jun-2011","     4783.25","     4805.85","     4755.00","     4772.65","        3580677","          184.92"
"13-Jun-2011","     4756.60","     4796.85","     4746.15","     4790.45","        4953180","          262.20"
"14-Jun-2011","     4794.45","     4845.05","     4794.45","     4822.55","        5768405","          308.22"
"15-Jun-2011","     4810.85","     4847.40","     4808.40","     4820.60","        5969682","          400.37"
"16-Jun-2011","     4792.25","     4840.20","     4792.25","     4819.70","        5057594","          259.72"
"17-Jun-2011","     4803.60","     4840.50","     4741.15","     4754.50","        3957438","          194.78"
"20-Jun-2011","     4758.95","     4793.05","     4598.40","     4654.40","        6672188","          309.95"
"21-Jun-2011","     4661.10","     4713.10","     4653.80","     4686.90","        5001364","          284.24"
"22-Jun-2011","     4709.05","     4725.50","     4669.35","     4691.65","        4699078","          224.55"
"23-Jun-2011","     4675.95","     4680.85","     4623.10","     4660.65","        4187228","          181.93"
"24-Jun-2011","     4671.00","     4729.25","     4657.70","     4720.50","        5355208","          266.41"
"27-Jun-2011","     4712.80","     4784.10","     4697.60","     4765.70","        4361173","          211.95"
"28-Jun-2011","     4783.05","     4820.00","     4768.20","     4795.15","        4868232","          330.86"
"29-Jun-2011","     4801.90","     4836.75","     4801.90","     4828.20","        5210330","          283.37"
"30-Jun-2011","     4826.20","     4855.45","     4776.30","     4817.00","        9877176","          533.23"
"01-Jul-2011","     4838.10","     4868.80","     4781.35","     4796.25","        4473200","          264.13"
"04-Jul-2011","     4816.05","     4837.25","     4810.20","     4828.20","        3360342","          170.68"
"05-Jul-2011","     4831.75","     4837.35","     4808.55","     4821.95","        3445604","          183.48"
"06-Jul-2011","     4826.20","     4838.75","     4787.20","     4795.60","        4238715","          281.16"
"07-Jul-2011","     4798.45","     4894.20","     4798.40","     4885.50","        5174095","          320.57"
"08-Jul-2011","     4897.40","     4910.35","     4840.15","     4850.30","        3161622","          173.12"
"11-Jul-2011","     4853.70","     4873.00","     4829.65","     4841.15","        3435078","          183.40"
"12-Jul-2011","     4818.25","     4854.40","     4778.50","     4818.80","        3439751","          178.59"
"13-Jul-2011","     4846.75","     4901.35","     4846.75","     4889.60","        5003568","          335.61"
"14-Jul-2011","     4884.25","     4960.40","     4870.85","     4934.75","        4980198","          247.52"
"15-Jul-2011","     4932.65","     4951.10","     4899.40","     4922.30","        4091009","          213.56"
"18-Jul-2011","     4914.85","     4924.55","     4860.50","     4868.45","        8638966","          375.42"
"19-Jul-2011","     4878.50","     4912.45","     4871.50","     4907.45","        5038075","          261.71"
"20-Jul-2011","     4926.65","     4938.95","     4814.75","     4826.90","        5863456","          327.51"
"21-Jul-2011","     4804.00","     4819.55","     4773.20","     4786.35","        6994009","          315.34"
"22-Jul-2011","     4812.45","     4867.15","     4811.45","     4850.00","        3643430","          186.89"
"25-Jul-2011","     4843.35","     4914.15","     4823.50","     4905.45","        4862837","          243.24"
"26-Jul-2011","     4915.60","     4949.20","     4852.15","     4869.40","        7738913","          340.22"
"27-Jul-2011","     4868.05","     4904.10","     4844.70","     4861.65","        6357398","          311.80"
"28-Jul-2011","     4843.50","     4889.35","     4811.20","     4877.10","        9631033","          560.38"
"29-Jul-2011","     4873.65","     4893.20","     4844.10","     4848.45","        4369888","          253.95"
"01-Aug-2011","     4859.50","     4900.30","     4859.50","     4881.70","        3818250","          219.13"
"02-Aug-2011","     4872.75","     4906.75","     4860.10","     4892.20","        6137334","          345.59"
"03-Aug-2011","     4868.70","     4868.70","     4830.85","     4841.50","        3339657","          183.47"
"04-Aug-2011","     4836.70","     4848.95","     4757.60","     4764.75","        5077183","          243.62"
"05-Aug-2011","     4694.15","     4723.05","     4633.00","     4710.75","        9853395","          500.08"
"08-Aug-2011","     4653.90","     4713.45","     4603.80","     4684.20","        6312305","          350.65"
"09-Aug-2011","     4570.85","     4600.40","     4521.20","     4543.65","        9574510","          522.07"
"10-Aug-2011","     4591.10","     4605.70","     4556.65","     4597.60","        6640644","          289.72"
"11-Aug-2011","     4576.50","     4653.40","     4570.40","     4581.00","        5769913","          290.92"
"12-Aug-2011","     4606.80","     4617.55","     4550.05","     4555.05","        4401875","          194.05"
"16-Aug-2011","     4575.75","     4601.65","     4494.80","     4523.20","        4273585","          202.94"
"17-Aug-2011","     4527.85","     4580.70","     4510.95","     4545.60","        3835570","          175.26"
