"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"04-Jul-2003","-","-","-","     1709.95","-","-"
"07-Jul-2003","-","-","-","     1723.76","-","-"
"08-Jul-2003","-","-","-","     1705.06","-","-"
"09-Jul-2003","-","-","-","     1703.40","-","-"
"10-Jul-2003","-","-","-","     1702.29","-","-"
"11-Jul-2003","-","-","-","     1740.12","-","-"
"14-Jul-2003","-","-","-","     1795.12","-","-"
"15-Jul-2003","-","-","-","     1802.79","-","-"
"16-Jul-2003","-","-","-","     1854.21","-","-"
"17-Jul-2003","-","-","-","     1808.88","-","-"
"18-Jul-2003","-","-","-","     1803.51","-","-"
"21-Jul-2003","-","-","-","     1774.17","-","-"
"22-Jul-2003","-","-","-","     1719.49","-","-"
"23-Jul-2003","-","-","-","     1724.87","-","-"
"24-Jul-2003","-","-","-","     1749.69","-","-"
"25-Jul-2003","-","-","-","     1819.60","-","-"
"28-Jul-2003","-","-","-","     1815.10","-","-"
"29-Jul-2003","-","-","-","     1811.66","-","-"
"30-Jul-2003","-","-","-","     1857.27","-","-"
"31-Jul-2003","-","-","-","     1807.94","-","-"
"01-Aug-2003","-","-","-","     1811.03","-","-"
"04-Aug-2003","-","-","-","     1803.76","-","-"
"05-Aug-2003","-","-","-","     1752.07","-","-"
"06-Aug-2003","-","-","-","     1717.49","-","-"
"07-Aug-2003","-","-","-","     1754.91","-","-"
"08-Aug-2003","-","-","-","     1790.21","-","-"
"11-Aug-2003","-","-","-","     1800.53","-","-"
"12-Aug-2003","-","-","-","     1796.80","-","-"
"13-Aug-2003","-","-","-","     1810.97","-","-"
"14-Aug-2003","-","-","-","     1804.62","-","-"
"18-Aug-2003","-","-","-","     1806.50","-","-"
"19-Aug-2003","-","-","-","     1801.62","-","-"
"20-Aug-2003","-","-","-","     1841.42","-","-"
"21-Aug-2003","-","-","-","     1892.15","-","-"
"22-Aug-2003","-","-","-","     1896.56","-","-"
"25-Aug-2003","-","-","-","     1839.42","-","-"
"26-Aug-2003","-","-","-","     1914.02","-","-"
"27-Aug-2003","-","-","-","     1996.06","-","-"
"28-Aug-2003","-","-","-","     1972.29","-","-"
"29-Aug-2003","-","-","-","     1940.75","-","-"
"01-Sep-2003","-","-","-","     1943.36","-","-"
"02-Sep-2003","-","-","-","     1977.27","-","-"
"03-Sep-2003","-","-","-","     1930.04","-","-"
"04-Sep-2003","-","-","-","     1901.94","-","-"
"05-Sep-2003","-","-","-","     1917.60","-","-"
"08-Sep-2003","-","-","-","     1940.57","-","-"
"09-Sep-2003","-","-","-","     1922.37","       19851752","          397.22"
"10-Sep-2003","-","-","-","     1961.05","       24409978","          388.23"
"11-Sep-2003","-","-","-","     1990.13","       38119940","          640.05"
"12-Sep-2003","-","-","-","     1947.58","       26453981","          451.24"
"15-Sep-2003","-","-","-","     1875.79","       19004112","          319.84"
"16-Sep-2003","-","-","-","     1928.20","       26442940","          447.19"
"17-Sep-2003","-","-","-","     1901.92","       21688998","          396.65"
"18-Sep-2003","-","-","-","     1818.34","       23581761","          454.28"
"19-Sep-2003","-","-","-","     1829.34","       31355052","          529.69"
"22-Sep-2003","-","-","-","     1802.87","       16902611","          312.07"
"23-Sep-2003","-","-","-","     1847.61","       24540978","          449.91"
"24-Sep-2003","-","-","-","     1894.51","       23335674","          402.81"
"25-Sep-2003","-","-","-","     1865.79","       32890947","          525.79"
"26-Sep-2003","-","-","-","     1942.72","       27261333","          449.74"
"29-Sep-2003","-","-","-","     1980.41","       28879439","          480.71"
"30-Sep-2003","-","-","-","     2029.28","       41351524","          660.87"
"01-Oct-2003","-","-","-","     2020.88","       32987357","          535.02"
"03-Oct-2003","-","-","-","     2068.22","       22773970","          416.79"
"06-Oct-2003","-","-","-","     2120.85","       30824196","          546.96"
"07-Oct-2003","-","-","-","     2117.43","       29755944","          560.32"
"08-Oct-2003","-","-","-","     2168.51","       44912867","          805.70"
"09-Oct-2003","-","-","-","     2207.47","       33378378","          549.82"
"10-Oct-2003","-","-","-","     2182.45","       24551745","          407.92"
"13-Oct-2003","-","-","-","     2231.92","       28910306","          543.71"
"14-Oct-2003","-","-","-","     2191.86","       37678147","          728.46"
"15-Oct-2003","-","-","-","     2238.36","       31795374","          651.05"
"16-Oct-2003","-","-","-","     2323.51","       51118676","          909.81"
"17-Oct-2003","-","-","-","     2301.07","       53340009","          857.61"
"20-Oct-2003","-","-","-","     2261.97","       41595721","          652.39"
"21-Oct-2003","-","-","-","     2206.60","       61532696","         1068.38"
"22-Oct-2003","-","-","-","     2202.46","       42720959","          726.39"
"23-Oct-2003","-","-","-","     2187.35","       45787717","          820.02"
"24-Oct-2003","-","-","-","     2248.07","       51184222","          989.61"
"25-Oct-2003","-","-","-","     2273.85","       11681219","          204.22"
"27-Oct-2003","-","-","-","     2216.64","       30493105","          538.87"
"28-Oct-2003","-","-","-","     2191.11","       35226036","          631.83"
"29-Oct-2003","-","-","-","     2222.92","       38189117","          631.64"
"30-Oct-2003","-","-","-","     2245.47","       50452908","          931.25"
"31-Oct-2003","-","-","-","     2294.55","       43539394","          837.57"
"03-Nov-2003","-","-","-","     2274.45","       45587095","          888.12"
"04-Nov-2003","-","-","-","     2297.64","       34035158","          699.13"
"05-Nov-2003","-","-","-","     2255.09","       33324990","          629.79"
"06-Nov-2003","-","-","-","     2245.89","       20486006","          407.65"
"07-Nov-2003","-","-","-","     2236.74","       20566286","          443.23"
"10-Nov-2003","-","-","-","     2221.05","        8481953","          174.39"
"11-Nov-2003","-","-","-","     2243.30","       16468189","          347.82"
"12-Nov-2003","-","-","-","     2255.41","       20262847","          393.23"
"13-Nov-2003","-","-","-","     2218.53","       15877311","          316.74"
"14-Nov-2003","-","-","-","     2172.60","       17781345","          353.71"
"15-Nov-2003","-","-","-","     2182.89","        4727632","           92.93"
"17-Nov-2003","-","-","-","     2204.56","       13042205","          258.69"
"18-Nov-2003","-","-","-","     2170.51","       13755532","          289.61"
"19-Nov-2003","-","-","-","     2125.95","       15066872","          305.40"
"20-Nov-2003","-","-","-","     2088.73","       13184494","          244.39"
"21-Nov-2003","-","-","-","     2091.38","       18975961","          367.98"
"24-Nov-2003","-","-","-","     2107.18","       12111358","          239.93"
"25-Nov-2003","-","-","-","     2136.87","       11044368","          210.32"
"27-Nov-2003","-","-","-","     2182.13","       21173321","          396.86"
"28-Nov-2003","-","-","-","     2202.46","       19621673","          339.78"
"01-Dec-2003","-","-","-","     2214.85","       13948322","          261.11"
"02-Dec-2003","-","-","-","     2251.44","       21659527","          431.33"
"03-Dec-2003","-","-","-","     2302.05","       18650653","          409.00"
"04-Dec-2003","-","-","-","     2268.73","       14856509","          307.64"
"05-Dec-2003","-","-","-","     2216.77","       16930977","          320.19"
"08-Dec-2003","-","-","-","     2206.71","       11385411","          199.10"
"09-Dec-2003","-","-","-","     2242.43","       11203906","          214.64"
"10-Dec-2003","-","-","-","     2251.79","       13721648","          288.18"
"11-Dec-2003","-","-","-","     2306.60","       19780826","          341.01"
"12-Dec-2003","-","-","-","     2323.29","       19849487","          352.50"
"15-Dec-2003","-","-","-","     2324.99","       14350115","          290.11"
"16-Dec-2003","-","-","-","     2321.27","       13411906","          286.11"
"17-Dec-2003","-","-","-","     2303.25","       11079424","          236.45"
"18-Dec-2003","-","-","-","     2309.56","       13867226","          239.58"
"19-Dec-2003","-","-","-","     2342.60","       15451026","          311.73"
"22-Dec-2003","-","-","-","     2427.54","       32814344","          578.51"
"23-Dec-2003","-","-","-","     2426.03","       31572800","          583.29"
"24-Dec-2003","-","-","-","     2455.80","       31757339","          541.29"
"26-Dec-2003","-","-","-","     2508.39","       23227071","          458.17"
"29-Dec-2003","-","-","-","     2594.09","       19138469","          418.99"
"30-Dec-2003","-","-","-","     2567.22","       27354248","          622.80"
